སྐར་མ་ཆ་སྡོད།	གཞི་གཅིག་ལ་བརྟེན་ནས་བསྐོར་བ་བྱེད་པའི་བརྟན་སྐར་གཉིས་ཀྱིས་གྲུབ།	གྲུབ་ཚུལ།
ཧྥ་རན་སེའི་གོང་མའི་རྒྱལ་ཁབ་གཉིས་པ།	法兰西第二帝国	རྒྱ་ཡིག་གི་མིང་།
བསྐལ་རབས་ཐོག་མ།	ཝན་ཡིའུ་འགུག་ཤུགས།	འགྲེམ་སྤེལ་ཀུང་ཟི།
ཞི་བདེ་ཉི་མ།	འཁྲབ་ཁྲིད་པ།འཁྲབ་སྟོན་པ།འཁྲབ་གཞུང་རྩོམ་པ་པོ།	ལས་རིགས།
སྐྱིད་ལ་སྡུག་པའི་མི་ཚེ།	游戏人生	རྒྱ་ཡིག་གི་མིང་།
འབྲོམ་སྟོན་པ་རྒྱལ་བའི་འབྱུང་གནས།	仲敦巴尊者	རྒྱ་ཡིག་གི་མིང་།
དབུ་ཞབས་ལྷ་སྐུའི་སྒྱུ་རྩལ།	གནའ་དཔེ།	ཁོངས་གཏོགས།
ཧྥུ་ལན་ཁོ་ལིན།	ཨ་མེ་རི་ཁ།	རྒྱལ་ཁབ།
ཁྲུན་ཝུན་མཆོད་རྟེན།	ཀྲུང་གོའི་ཆེས་མཐོ་བའི་གྱོ་བཟོས་མཆོད་རྟེན་ཡིན།	གོ་གནས།
ཆུ་ཕོ་དགོན་པ།	རྙིང་མ།	གྲུབ་མཐའ།
རིག་གནས་འཁོར་རྒྱ།	culturalcircle	ཕྱི་ཡིག་གི་མིང་།
རླུང་འཁོར།	风扇	རྒྱ་ཡིག་གི་མིང་།
ཆུ་ཐོར།	varicella	ཕྱི་ཡིག་གི་མིང་།
དངུལ་བུན་གཏོང་ལེན་སྐོར་གྱི་གན་རྒྱ།	དངུལ་རྩ་ཆེད་གཉེར་ལས་ཁུངས།	དངུལ་བུན་སྐྱི་མཁན་གྱི་ཕྱོགས།
འབྲོམ་སྟོན་པ་རྒྱལ་བའི་འབྱུང་གནས།	རྟ་གསུམ་སྐུ་གཤེན།	ཡབ།
ན་ར་ཏིའི་ཆུ་མགོ་མགོ་མང་།	སྨི3754ཡོད།	མཚོ་འཕགས།
བོད་ཀྱི་ཁ་བཏགས་རིག་གནས།	哈达文化	རྒྱ་ཡིག་གི་མིང་།
ཞི་ཧྲོང་པན་ན།	西双版纳	རྒྱ་ཡིག་གི་མིང་།
འཇའ་ཤིང་དོ་མཉམ།	杠杆平衡	རྒྱ་ཡིག་གི་མིང་།
Z-བསྡམས་འཁུམ།	z-pinch	ཕྱི་ཡིག་མིང་།
སྨྱོ་བྱེད་ཀྱི་ནད།	精神分裂症	རྒྱ་ཡིག་གི་མིང་།
མཁའ་དམག	空军	རྒྱ་ཡིག་གི་མིང་
རེག་དུག	syphilis	ཕྱི་ཡིག་གི་མིང་།
བྱ་བ་ཐ་དད་པ་ལྷན་ཅིག་བརྗོད་པ།	并论互异动作	རྒྱ་ཡིག་གི་མིང་།
མོ་དྲ་ཐེ།	《ཐང་ཧོང》དང《འདྲེ་འབོད་རྐང་གླིང》《ཀྲུའུ་པི་ཐེ་མཉམ་སྒྲོག་རོལ་མོ》སོགས་ཡོད།	བརྩམས་ཆོས།
དགེ་བཤེས་ཕོ་བྲང་སྡིང་པ།	གཉོས།	གདུང་རུས།
ཅོ་ཀ	Alaudagulgula	ལ་ཏིང་གི་སྐད།
མོ་སྟོན་ཕག་མགོ།	莫哇帕洛	རྒྱ་འགྱུར་མིང་།
མན་ངག་རིན་ཆེན་འབྱུང་གནས།	藏语秘诀宝源	རྒྱ་ཡིག་གི་མིང་།
ཝུའུ་ཆི།	ཧྭ་ཞ་རིགས།	མི་རིགས།
སྟག་མོ་ནགས་ལས་བྲལ་བར་འཇུག་པ།	调虎离山	རྒྱ་ཡིག་གི་མིང་།
གངས་རྗེ་ཁྲི་རྗེ།	岗结赤吉	རྒྱ་ཡིག་གི་མིང་།
ཐེན་ཧྥུ་མིང་ཇ།	ལེ་ཧྲན་ཅ་ཅང་དང་ཧྥུ་ཀྲོའུ།ཞིན་ཁྲང་།ཀྲང་ཕུའུ།	ཐོན་གནས།
བྱ་རྒོད།	གླག་ཚན།	ཚན།
ཝེ་ལིང་ཐོན་གྲོང་ཁྱེར།	ནེའུ་ཙི་ལན་གླིང་ཕྲན་བྱང་མའི་ལྷོ་ཁུལ།	གནས་ཡུལ།
བསམ་ཡས་གཙུག་ལག་ཁང་གི་རྡོ་རིང་།	སྨི0.8	མཐུག་ཚད།
ཨ་ཧྥུ་ཧན་གྱི་དབྱིན་འགོག་དམག་འཁྲུག	ཨ་ཧྥུ་ཧན་གྱིས་རྒྱལ་ཁ་བླངས།	མཇུག་འབྲས།
དྷོ་ཀ་རི་པ།	ཕྱག་རྒྱ་ཆེན་པོའི་དངོས་གྲུབ།	གྲུབ་པ་གང་ཐོབ།
ཤ་ལི་པ།	སྤྱང་ཀིའི་སྐད།	དངོས་གྲུབ་ཀྱི་རྟེན།
ཆུ་ཚན་སྒུ།	རྔ་བ་ཁུལ་གཟི་རྩ་སྡེ་དགུ་རྫོང་གཞུང་བ་ཡུལ་ཚོ།	སྲིད་འཛིན་ཁོངས་གཏོགས།
ལྷ་སྲིན་སྡེ་བརྒྱད།	DragonOath	ཐོག་མའི་མིང་།
བཀྲ་ཤིས་ཆུ་མགོ	རྨ་ལྷོ་ཁུལ་རྨ་ལྷོ་སོག་རྫོང་ཡོས་རྒན་ཉིན་གྲོང་རྡལ་ནུབ་བྱང་ཕྱོགས་སུ་ཡོད།	གནས་ཡུལ།
སྐམ་ཆེན་ཆུ།	ཆུ་བོ།	རིགས་དབྱེ།
ཁ་ཚེ་གྲགས་པ་ངག་དབང་རྒྱ་མཚོ།	པྲ་སྒྲུང་སྒྲུང་པ།	སྒྲུང་པའི་རིགས།
ཁྲི་ཆེན་ཡེ་ཤེས་ཐར་འདོད།	སྤྱི་ལོ（1756—1829）	འཁྲུངས་འདས་ལོ་ཚིགས།
